,FIPS,hh_income,house_value,State,County,Tract_ID
1870,36081053800,103250.0,544900.0,NEW YORK,Queens County,053800
1871,36081053901,83172.0,768200.0,NEW YORK,Queens County,053901
1872,36081053902,137171.0,584800.0,NEW YORK,Queens County,053902
1873,36081054000,72212.0,481200.0,NEW YORK,Queens County,054000
1874,36081054200,82406.0,596200.0,NEW YORK,Queens County,054200
1875,36081054500,55694.0,631000.0,NEW YORK,Queens County,054500
1876,36081054700,87895.0,1080600.0,NEW YORK,Queens County,054700
1877,36081054800,90208.0,602200.0,NEW YORK,Queens County,054800
1878,36081054900,82727.0,647200.0,NEW YORK,Queens County,054900
1879,36081055100,66250.0,775000.0,NEW YORK,Queens County,055100
1880,36081055200,75511.0,550000.0,NEW YORK,Queens County,055200
1881,36081055300,77679.0,761400.0,NEW YORK,Queens County,055300
1882,36081055400,84750.0,591300.0,NEW YORK,Queens County,055400
1883,36081055500,81000.0,659800.0,NEW YORK,Queens County,055500
1884,36081055600,111860.0,588800.0,NEW YORK,Queens County,055600
1885,36081055700,81701.0,800500.0,NEW YORK,Queens County,055700
1886,36081055800,88021.0,651500.0,NEW YORK,Queens County,055800
1887,36081055900,71324.0,616400.0,NEW YORK,Queens County,055900
1888,36081056000,80179.0,607300.0,NEW YORK,Queens County,056000
1890,36081056200,87344.0,571300.0,NEW YORK,Queens County,056200
1891,36081056400,69464.0,626200.0,NEW YORK,Queens County,056400
1892,36081056500,98750.0,699500.0,NEW YORK,Queens County,056500
1893,36081056600,65625.0,572500.0,NEW YORK,Queens County,056600
1894,36081056700,103045.0,743900.0,NEW YORK,Queens County,056700
1895,36081056800,99339.0,585300.0,NEW YORK,Queens County,056800
1896,36081057700,74500.0,804500.0,NEW YORK,Queens County,057700
1897,36081057900,65370.0,622000.0,NEW YORK,Queens County,057900
1898,36081058000,99648.0,499600.0,NEW YORK,Queens County,058000
1899,36081058100,64896.0,713400.0,NEW YORK,Queens County,058100
1900,36081058200,109527.0,486400.0,NEW YORK,Queens County,058200
1901,36081058300,82772.0,1071500.0,NEW YORK,Queens County,058300
1902,36081058500,72950.0,835900.0,NEW YORK,Queens County,058500
1903,36081058700,91301.0,894900.0,NEW YORK,Queens County,058700
1904,36081058900,62403.0,1010400.0,NEW YORK,Queens County,058900
1905,36081059000,95625.0,501400.0,NEW YORK,Queens County,059000
1906,36081059100,68364.0,819100.0,NEW YORK,Queens County,059100
1907,36081059200,111667.0,557900.0,NEW YORK,Queens County,059200
1908,36081059300,73693.0,693500.0,NEW YORK,Queens County,059300
1909,36081059400,126774.0,457200.0,NEW YORK,Queens County,059400
1910,36081059501,91053.0,688400.0,NEW YORK,Queens County,059501
1911,36081059502,71801.0,759977.6464903357,NEW YORK,Queens County,059502
1912,36081059600,69107.0,525300.0,NEW YORK,Queens County,059600
1913,36081059800,93808.0,490900.0,NEW YORK,Queens County,059800
1914,36081059900,77222.0,785100.0,NEW YORK,Queens County,059900
1915,36081060000,107946.0,532700.0,NEW YORK,Queens County,060000
1916,36081060100,96953.0,649400.0,NEW YORK,Queens County,060100
1917,36081060300,90074.0,655600.0,NEW YORK,Queens County,060300
1918,36081060600,78730.62887067396,461800.0,NEW YORK,Queens County,060600
1920,36081060800,101042.0,496300.0,NEW YORK,Queens County,060800
1921,36081061000,97813.0,461900.0,NEW YORK,Queens County,061000
1922,36081061200,126638.0,510600.0,NEW YORK,Queens County,061200
1923,36081061301,66835.0,815300.0,NEW YORK,Queens County,061301
1925,36081061400,132633.0,519900.0,NEW YORK,Queens County,061400
1926,36081061601,99583.0,492200.0,NEW YORK,Queens County,061601
1927,36081061602,111089.0,575000.0,NEW YORK,Queens County,061602
1928,36081061800,92670.0,453200.0,NEW YORK,Queens County,061800
1929,36081061900,100861.0,679500.0,NEW YORK,Queens County,061900
1930,36081062000,103417.0,521500.0,NEW YORK,Queens County,062000
1931,36081062100,83773.0,791800.0,NEW YORK,Queens County,062100
1932,36081062200,124236.0,472100.0,NEW YORK,Queens County,062200
1933,36081062300,68869.0,650300.0,NEW YORK,Queens County,062300
1935,36081062500,80625.0,664300.0,NEW YORK,Queens County,062500
1936,36081062600,107946.0,510700.0,NEW YORK,Queens County,062600
1937,36081062700,66042.0,704900.0,NEW YORK,Queens County,062700
1938,36081062900,86309.0,604400.0,NEW YORK,Queens County,062900
1939,36081063000,110583.0,523700.0,NEW YORK,Queens County,063000
1940,36081063200,111667.0,515200.0,NEW YORK,Queens County,063200
1941,36081063301,83750.0,612200.0,NEW YORK,Queens County,063301
1942,36081063302,105417.0,651100.0,NEW YORK,Queens County,063302
1943,36081063500,74029.0,735400.0,NEW YORK,Queens County,063500
1944,36081063700,91655.0,674900.0,NEW YORK,Queens County,063700
1945,36081063800,108417.0,531100.0,NEW YORK,Queens County,063800
1946,36081063900,75729.0,629800.0,NEW YORK,Queens County,063900
1947,36081064101,78403.0,279600.0,NEW YORK,Queens County,064101
1949,36081064500,87632.0,843500.0,NEW YORK,Queens County,064500
1950,36081064600,104063.0,534400.0,NEW YORK,Queens County,064600
1951,36081065000,112411.0,578600.0,NEW YORK,Queens County,065000
1952,36081065401,100313.0,595900.0,NEW YORK,Queens County,065401
1955,36081065600,97850.0,554800.0,NEW YORK,Queens County,065600
1956,36081065702,74511.0,742600.0,NEW YORK,Queens County,065702
1957,36081065703,103288.0,706000.0,NEW YORK,Queens County,065703
1958,36081065900,106304.0,757300.0,NEW YORK,Queens County,065900
1959,36081066000,69583.0,514300.0,NEW YORK,Queens County,066000
1960,36081066100,102411.0,818600.0,NEW YORK,Queens County,066100
1961,36081066301,116848.0,788800.0,NEW YORK,Queens County,066301
1963,36081066401,161250.0,479700.0,NEW YORK,Queens County,066401
1964,36081066402,101365.0,486300.0,NEW YORK,Queens County,066402
1965,36081066403,88317.0,498600.0,NEW YORK,Queens County,066403
1967,36081066501,77453.0,829400.0,NEW YORK,Queens County,066501
1968,36081066701,113125.0,685300.0,NEW YORK,Queens County,066701
1969,36081066900,90078.0,843200.0,NEW YORK,Queens County,066900
